cutoff,cutoff_display,manuscript_label,family,current_run_id,current_campaign_lineage,current_crps_display4,current_score_scale,current_within_cutoff_shared_inputs_aligned,target_status,required_action,target_bundle_root,target_bundle_run_id,target_data_start,target_quantile_lanes,target_submodels,paper_table_gate
20210123,01/23/2021,N-U-T1,ndlm_univar_keep,multimodel_20210123_v8_he2pubgdpc1r1_ndlm_univar_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,0.3359,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20210123,01/23/2021,N-M-T0,ndlm_main_drop,multimodel_20210123_v8_he2pubgdpc1r1_ndlm_main_drop,ndlm_publication_promotion_20260607:canonical_bundle_promoted,1.8456,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20210123,01/23/2021,N-M-T1,ndlm_main_keep,multimodel_20210123_v8_he2pubgdpc1r1_ndlm_main_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,3.2149,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20210123,01/23/2021,AL-U-T1,dqlm_univar_al,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_univar_al,univar_al_exal_publication_relaunch_20260603:canonical_bundle_promoted,1.6385,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20210123,01/23/2021,AL-M-T0,dqlm_multivar_al_drop,multimodel_20210123_v8_he2pubgdpc1r1_dqlm_multivar_al_drop,dqlm_multivar_al_drop_p5_production_20260606:canonical_bundle_promoted,0.4680,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20210123,01/23/2021,AL-M-T1,dqlm_multivar_al_keep,multimodel_20210123_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,dqlm_multivar_al_keep_from_exal_winners_20260602:canonical_bundle_promoted,0.1459,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20210123,01/23/2021,exAL-U-T1,exdqlm_univar,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_univar,univar_al_exal_publication_relaunch_20260603:canonical_bundle_promoted,1.5938,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20210123,01/23/2021,exAL-M-T0,exdqlm_multivar_drop,multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_drop,exdqlm_multivar_drop_current_relaunch_q50repair_20260602:canonical_bundle_promoted,1.2215,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20210123,01/23/2021,exAL-M-T1,exdqlm_multivar_keep,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,exdqlm_multivar_keep_canonical_grid_20260524:authoritative_winner,0.1397,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,N-U-T1,ndlm_univar_keep,multimodel_20211112_v8_he2pubgdpc1r1_ndlm_univar_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,0.1706,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211112,11/12/2021,N-M-T0,ndlm_main_drop,multimodel_20211112_v8_he2pubgdpc1r1_ndlm_main_drop,ndlm_publication_promotion_20260607:canonical_bundle_promoted,0.3802,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211112,11/12/2021,N-M-T1,ndlm_main_keep,multimodel_20211112_v8_he2pubgdpc1r1_ndlm_main_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,0.8910,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211112,11/12/2021,AL-U-T1,dqlm_univar_al,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_univar_al,univar_al_exal_publication_relaunch_20260603:canonical_bundle_promoted,1.4379,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,AL-M-T0,dqlm_multivar_al_drop,multimodel_20211112_v8_he2pubgdpc1r1_dqlm_multivar_al_drop,dqlm_multivar_al_drop_p5_production_20260606:canonical_bundle_promoted,0.1999,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,AL-M-T1,dqlm_multivar_al_keep,multimodel_20211112_v8_he2grid_c04_eps365_dqlm_multivar_al_keep,dqlm_multivar_al_keep_from_exal_winners_20260602:canonical_bundle_promoted,0.0555,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,exAL-U-T1,exdqlm_univar,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_univar,univar_al_exal_publication_relaunch_20260603:canonical_bundle_promoted,1.3721,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,exAL-M-T0,exdqlm_multivar_drop,multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_drop,exdqlm_multivar_drop_current_relaunch_q50repair_20260602:canonical_bundle_promoted,1.7987,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211112,11/12/2021,exAL-M-T1,exdqlm_multivar_keep,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,exdqlm_multivar_keep_canonical_grid_20260524:authoritative_winner,0.0472,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
20211221,12/21/2021,N-U-T1,ndlm_univar_keep,multimodel_20211221_v8_he2pubgdpc1r1_ndlm_univar_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,1.1935,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211221,12/21/2021,N-M-T0,ndlm_main_drop,multimodel_20211221_v8_he2pubgdpc1r1_ndlm_main_drop,ndlm_publication_promotion_20260607:canonical_bundle_promoted,0.6596,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211221,12/21/2021,N-M-T1,ndlm_main_keep,multimodel_20211221_v8_he2pubgdpc1r1_ndlm_main_keep,ndlm_publication_promotion_20260607:canonical_bundle_promoted,3.0456,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,single_model,1,ready_for_promoted_canonical_families
20211221,12/21/2021,AL-U-T1,dqlm_univar_al,multimodel_20211221_v8_he2pubgdpc1r1_dqlm_univar_al,univar_al_exal_publication_relaunch_20260603:canonical_bundle_promoted,2.6268,log_cms_plus1,True,authoritative_promoted,none,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,20260510_publication_shared_r01,1987-05-29,05|20|35|50|65|80|95,7,ready_for_promoted_canonical_families
