cutoff,cutoff_display,variant,manuscript_label,best_epsilon_label,best_c_factor,target_model_id,launch_mode,resolved_run_id,resolved_run_dir,mean_crps,status
20210123,01/23/2021,full,exAL-M-T1,c04_eps365,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20210123_v8_he2grid_c04_eps365_exdqlm_multivar_keep,0.1397088548478634,pass
20210123,01/23/2021,noTrend,exAL-M-T1-noTrend,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,1.0515922245361908,pass
20210123,01/23/2021,noTF,exAL-M-noTF,c04_eps365,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,1.7360957277723663,pass
20210123,01/23/2021,noH1,exAL-M-T1-noH1,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,1.2786086911429622,pass
20210123,01/23/2021,noH2,exAL-M-T1-noH2,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,0.7268957470858982,pass
20210123,01/23/2021,noH3,exAL-M-T1-noH3,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20210123_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,1.0828143384638242,pass
20211112,11/12/2021,full,exAL-M-T1,c04_eps365,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211112_v8_he2grid_c04_eps365_exdqlm_multivar_keep,0.0472363501409808,pass
20211112,11/12/2021,noTrend,exAL-M-T1-noTrend,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTrend,0.7234272298091396,pass
20211112,11/12/2021,noTF,exAL-M-noTF,c04_eps365,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noTF,1.9128521111636287,pass
20211112,11/12/2021,noH1,exAL-M-T1-noH1,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH1,1.601420047530022,pass
20211112,11/12/2021,noH2,exAL-M-T1-noH2,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH2,1.0472404928276249,pass
20211112,11/12/2021,noH3,exAL-M-T1-noH3,c04_eps365,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211112_v8_c04_eps365_exdqlm_multivar_keep_he3_noH3,1.0356247764306286,pass
20211221,12/21/2021,full,exAL-M-T1,c03_eps030,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20211221_v8_he2grid_c03_eps030_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20211221_v8_he2grid_c03_eps030_exdqlm_multivar_keep,0.2653720407651523,pass
20211221,12/21/2021,noTrend,exAL-M-T1-noTrend,c03_eps030,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noTrend,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noTrend,2.52042740599615,pass
20211221,12/21/2021,noTF,exAL-M-noTF,c03_eps030,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noTF,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noTF,1.7945163309589849,pass
20211221,12/21/2021,noH1,exAL-M-T1-noH1,c03_eps030,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH1,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH1,2.938405818577816,pass
20211221,12/21/2021,noH2,exAL-M-T1-noH2,c03_eps030,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH2,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH2,2.935783731059362,pass
20211221,12/21/2021,noH3,exAL-M-T1-noH3,c03_eps030,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH3,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20211221_v8_c03_eps030_exdqlm_multivar_keep_he3_noH3,2.6866746991171047,pass
20220511,05/11/2022,full,exAL-M-T1,c02_eps060,1.0,exdqlm_multivar_synth_keep,reuse_reference,multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_epsilon_discount_grid_20260524/runs/multimodel_20220511_v8_he2grid_c02_eps060_exdqlm_multivar_keep,0.0323251196672885,pass
20220511,05/11/2022,noTrend,exAL-M-T1-noTrend,c02_eps060,1.0,exdqlm_multivar_synth_keep,launch,multimodel_20220511_v8_c02_eps060_exdqlm_multivar_keep_he3_noTrend,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20220511_v8_c02_eps060_exdqlm_multivar_keep_he3_noTrend,0.5504111298339927,pass
20220511,05/11/2022,noTF,exAL-M-noTF,c02_eps060,1.0,exdqlm_multivar_synth_drop,launch,multimodel_20220511_v8_c02_eps060_exdqlm_multivar_keep_he3_noTF,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he3_exdqlm_ablation_authoritative_winners_20260608/runs/multimodel_20220511_v8_c02_eps060_exdqlm_multivar_keep_he3_noTF,1.5969384082942513,pass
