"covariate","quantile","center","q2_5","q97_5","ci_str","time_index","notes"
"Intercept",5,"-0.0233938700292617","-0.0242328320588004","-0.0225828415922855","-0.024, -0.023",12995,""
"Intercept",50,"-0.0331468207202287","-0.0342081598236200","-0.0321340680845496","-0.034, -0.032",12995,""
"Intercept",95,"-0.0296660537145932","-0.0307424398340477","-0.0286778762982463","-0.031, -0.029",12995,""
"Lag1",5,"-0.00657704412013785","-0.00789370968932917","-0.00526103995101691","-0.008, -0.005",12995,""
"Lag1",50,"-0.0233177378280249","-0.0250381843427169","-0.0215808870355353","-0.025, -0.022",12995,""
"Lag1",95,"-0.0216626873047288","-0.0233460987841259","-0.0199676262104812","-0.023, -0.020",12995,""
"Lag2",5,"0.230582834958535","0.225759821124124","0.235369523329413","0.226, 0.235",12995,""
"Lag2",50,"0.276810864853187","0.270917338175403","0.282706135816540","0.271, 0.283",12995,""
"Lag2",95,"0.288517230553541","0.282544646260472","0.294392410858331","0.283, 0.294",12995,""
"Lag3",5,"0.0292008555105258","0.0276341230333642","0.0307053503003208","0.028, 0.031",12995,""
"Lag3",50,"0.0174547430014785","0.0151900472372390","0.0197264706863759","0.015, 0.020",12995,""
"Lag3",95,"-0.160969252469707","-0.163830769917942","-0.158222243020398","-0.164, -0.158",12995,""
"Lag4",5,"-0.0101038546765343","-0.0116503705059352","-0.00861740112023142","-0.012, -0.009",12995,""
"Lag4",50,"-0.00921704532844831","-0.0113285729819656","-0.00721991719964633","-0.011, -0.007",12995,""
"Lag4",95,"-0.0487834085727284","-0.0512864081150252","-0.0463987463338001","-0.051, -0.046",12995,""
"Lag5",5,"-0.0200342222018559","-0.0209399141082928","-0.0191071983135799","-0.021, -0.019",12995,""
"Lag5",50,"-0.0248316988684387","-0.0260547291384234","-0.0236008668558559","-0.026, -0.024",12995,""
"Lag5",95,"-0.0414016134524394","-0.0428002527625231","-0.0399662315380134","-0.043, -0.040",12995,""
"PC1",5,"-0.00107817955800361","-0.00116211215763630","-0.000998351939794460","-0.001, -0.001",12995,""
"PC1",50,"-0.000601533514783942","-0.000708570939609687","-0.000497801556507874","-0.001, -0.000",12995,""
"PC1",95,"-0.000683411881265463","-0.000798285349429986","-0.000572420597403694","-0.001, -0.001",12995,""
"Precipitation",5,"-0.166890351130683","-0.171988084689252","-0.161910437958379","-0.172, -0.162",12995,""
"Precipitation",50,"-0.177018083169941","-0.183135245809521","-0.170926109771416","-0.183, -0.171",12995,""
"Precipitation",95,"0.0511879126642241","0.0448205613200451","0.0575244775533217","0.045, 0.058",12995,""
"Soil Moisture",5,"-0.00810244908433686","-0.0134096343568740","-0.00285159493422360","-0.013, -0.003",12995,""
"Soil Moisture",50,"0.0595435217852448","0.0524529894064013","0.0664375607902833","0.052, 0.066",12995,""
"Soil Moisture",95,"0.0276685369511960","0.0192299149533151","0.0360109612190777","0.019, 0.036",12995,""
